txn_date,year,month,month_name,daily_txn_count,daily_volume_eur,daily_avg_amount,daily_avg_risk_score,daily_flagged_count,daily_off_hours_count,high_value_count,avg_daily_txn_count,avg_daily_volume_eur,txn_count_vs_avg,volume_vs_avg_eur,txn_deviation_pct,anomaly_type
2023-01-01,2023,1,Jan,19,113974.58,5998.66,17.13,1,9,1,16.44,153578.06,2.56,-39603.48,15.57,NORMAL
2023-01-02,2023,1,Jan,18,138579.05,7698.84,20.81,1,7,1,16.44,153578.06,1.56,-14999.01,9.49,NORMAL
2023-01-03,2023,1,Jan,17,118284.89,6957.93,15.68,0,3,1,16.44,153578.06,0.56,-35293.17,3.41,NORMAL
2023-01-04,2023,1,Jan,23,92182.41,4007.93,14.4,0,7,0,16.44,153578.06,6.56,-61395.65,39.9,NORMAL
2023-01-05,2023,1,Jan,14,42487.05,3034.79,14.41,0,4,0,16.44,153578.06,-2.44,-111091.01,-14.84,NORMAL
2023-01-06,2023,1,Jan,26,98357.75,3782.99,18.89,1,10,0,16.44,153578.06,9.56,-55220.31,58.15,VOLUME SPIKE
2023-01-07,2023,1,Jan,17,184769.71,10868.81,22.5,3,7,1,16.44,153578.06,0.56,31191.65,3.41,NORMAL
2023-01-08,2023,1,Jan,19,246452.88,12971.2,24.96,1,8,1,16.44,153578.06,2.56,92874.82,15.57,NORMAL
2023-01-09,2023,1,Jan,12,95797.24,7983.1,20.32,2,3,1,16.44,153578.06,-4.44,-57780.82,-27.01,NORMAL
2023-01-10,2023,1,Jan,23,531975.14,23129.35,22.27,2,7,3,16.44,153578.06,6.56,378397.08,39.9,NORMAL
2023-01-11,2023,1,Jan,20,474600.72,23730.04,18.14,2,9,2,16.44,153578.06,3.56,321022.66,21.65,NORMAL
2023-01-12,2023,1,Jan,10,72691.02,7269.1,25.41,1,5,1,16.44,153578.06,-6.44,-80887.04,-39.17,NORMAL
2023-01-13,2023,1,Jan,14,22026.63,1573.33,15.33,1,7,0,16.44,153578.06,-2.44,-131551.43,-14.84,NORMAL
2023-01-14,2023,1,Jan,13,90549.76,6965.37,16.26,0,4,1,16.44,153578.06,-3.44,-63028.3,-20.92,NORMAL
2023-01-15,2023,1,Jan,18,271671.57,15092.86,13.24,0,8,1,16.44,153578.06,1.56,118093.51,9.49,NORMAL
2023-01-16,2023,1,Jan,16,21291.89,1330.74,10.77,0,4,0,16.44,153578.06,-0.44,-132286.17,-2.68,NORMAL
