year,month,month_name,total_transactions,completed_count,pending_count,failed_count,reversed_count,approval_rate_pct,failure_rate_pct,reversal_rate_pct,lost_volume_eur
2023,1,Jan,524,403,61,42,18,76.91,8.02,3.44,256144.07
2023,2,Feb,475,365,45,37,28,76.84,7.79,5.89,677276.16
2023,3,Mar,540,415,59,41,25,76.85,7.59,4.63,402146.21
2023,4,Apr,527,388,61,60,18,73.62,11.39,3.42,520640.47
2023,5,May,526,412,52,39,23,78.33,7.41,4.37,1404503.43
2023,6,Jun,468,360,49,36,23,76.92,7.69,4.91,653673.7
2023,7,Jul,496,366,55,44,31,73.79,8.87,6.25,507948.14
2023,8,Aug,495,394,44,41,16,79.6,8.28,3.23,380125.8
2023,9,Sep,452,363,39,31,19,80.31,6.86,4.2,179417.58
2023,10,Oct,534,418,52,42,22,78.28,7.87,4.12,585833.49
2023,11,Nov,503,394,44,38,27,78.33,7.55,5.37,427089.26
2023,12,Dec,524,400,62,41,21,76.34,7.82,4.01,225282.78
2024,1,Jan,537,425,53,38,21,79.14,7.08,3.91,714845.25
2024,2,Feb,478,370,53,33,22,77.41,6.9,4.6,726725.3
2024,3,Mar,475,368,52,33,22,77.47,6.95,4.63,132920.15
2024,4,Apr,464,354,50,42,18,76.29,9.05,3.88,211373.51
2024,5,May,488,394,47,31,16,80.74,6.35,3.28,299339.8
2024,6,Jun,498,384,46,51,17,77.11,10.24,3.41,452563.08
2024,7,Jul,472,375,44,35,18,79.45,7.42,3.81,208790.04
2024,8,Aug,506,398,54,40,14,78.66,7.91,2.77,131586.89
2024,9,Sep,527,392,57,49,29,74.38,9.3,5.5,772110.45
2024,10,Oct,493,380,48,47,18,77.08,9.53,3.65,819228.5
2024,11,Nov,504,393,46,37,28,77.98,7.34,5.56,983681.51
2024,12,Dec,494,390,44,42,18,78.95,8.5,3.64,1284716.71
