sender_country,receiver_country,total_transactions,total_volume_eur,avg_amount_eur,avg_risk_score,flagged_count,flag_rate_pct,flagged_volume_eur,is_cross_border,corridor_risk_band
DE,AE,13,233483.29,17960.25,58.08,6,46.15,212246.78,1,MEDIUM RISK
BE,US,20,1613495.82,80674.79,53.31,6,30.0,1565405.79,1,MEDIUM RISK
SE,SG,21,511454.72,24354.99,52.99,5,23.81,428451.9,1,MEDIUM RISK
ES,AE,31,881817.52,28445.73,52.86,9,29.03,737214.83,1,MEDIUM RISK
IT,AE,24,668564.0,27856.83,52.66,8,33.33,269566.56,1,MEDIUM RISK
PT,AE,23,1511876.84,65733.78,52.58,7,30.43,1465117.68,1,MEDIUM RISK
ES,US,20,284690.46,14234.52,51.77,4,20.0,102008.95,1,MEDIUM RISK
IT,HK,31,3214397.7,103690.25,51.24,12,38.71,3131035.27,1,MEDIUM RISK
AT,AE,24,1118811.12,46617.13,51.22,5,20.83,780826.57,1,MEDIUM RISK
PT,HK,19,658878.29,34677.8,50.91,6,31.58,505940.02,1,MEDIUM RISK
BE,AE,25,903781.19,36151.25,50.88,8,32.0,564209.69,1,MEDIUM RISK
DK,US,30,685130.32,22837.68,50.83,7,23.33,596021.04,1,MEDIUM RISK
DE,SG,30,462073.44,15402.45,49.84,6,20.0,136320.48,1,MEDIUM RISK
PT,SG,14,627309.65,44807.83,49.41,3,21.43,542225.46,1,MEDIUM RISK
RO,SG,34,1136225.92,33418.41,49.34,10,29.41,1003123.51,1,MEDIUM RISK
NL,SG,36,686718.45,19075.51,49.33,9,25.0,274028.11,1,MEDIUM RISK
AT,HK,18,352736.27,19596.46,49.14,5,27.78,298741.29,1,MEDIUM RISK
HU,US,16,160855.25,10053.45,48.96,4,25.0,114815.64,1,MEDIUM RISK
DK,HK,33,565015.07,17121.67,48.92,8,24.24,449472.45,1,MEDIUM RISK
FI,US,18,506825.59,28156.98,48.66,3,16.67,391241.47,1,MEDIUM RISK
FR,AE,31,1235927.57,39868.63,48.59,6,19.35,936274.08,1,MEDIUM RISK
SE,AE,32,1832435.58,57263.61,48.29,6,18.75,1215989.37,1,MEDIUM RISK
AT,SG,24,1018846.92,42451.96,48.17,5,20.83,728473.49,1,MEDIUM RISK
FI,SG,22,536386.92,24381.22,47.66,5,22.73,501235.73,1,MEDIUM RISK
DE,US,22,270397.57,12290.8,47.58,5,22.73,188930.01,1,MEDIUM RISK
FR,US,20,144021.77,7201.09,47.54,4,20.0,82705.37,1,MEDIUM RISK
ES,HK,30,1226479.12,40882.64,47.35,9,30.0,1164237.75,1,MEDIUM RISK
HU,SG,37,948433.61,25633.34,47.35,10,27.03,767965.35,1,MEDIUM RISK
HU,HK,35,1091066.67,31173.33,47.07,9,25.71,1017936.35,1,MEDIUM RISK
RO,AE,24,895005.54,37291.9,47.07,6,25.0,623382.07,1,MEDIUM RISK
RO,US,16,172443.85,10777.74,47.05,3,18.75,109425.28,1,MEDIUM RISK
BE,HK,19,749671.13,39456.38,46.81,4,21.05,715817.21,1,MEDIUM RISK
FR,SG,24,998503.87,41604.33,46.46,5,20.83,946446.24,1,MEDIUM RISK
RO,HK,18,398604.55,22144.7,46.24,5,27.78,309192.72,1,MEDIUM RISK
BE,SG,15,811850.8,54123.39,46.17,3,20.0,503200.68,1,MEDIUM RISK
PL,HK,23,512275.8,22272.86,45.57,5,21.74,439582.44,1,MEDIUM RISK
ES,SG,19,493792.49,25989.08,45.35,5,26.32,249084.47,1,MEDIUM RISK
IT,SG,25,533765.23,21350.61,45.04,4,16.0,334496.89,1,MEDIUM RISK
PL,SG,25,554360.38,22174.42,44.94,6,24.0,309397.81,1,MEDIUM RISK
SE,HK,24,765825.03,31909.38,44.49,6,25.0,726426.38,1,MEDIUM RISK
CZ,AE,18,648853.64,36047.42,44.39,4,22.22,216446.89,1,MEDIUM RISK
DK,SG,22,230467.64,10475.8,44.11,2,9.09,15010.83,1,MEDIUM RISK
FI,HK,20,568843.17,28442.16,44.07,3,15.0,133789.08,1,MEDIUM RISK
DE,HK,21,488253.77,23250.18,43.99,4,19.05,376883.96,1,MEDIUM RISK
DK,AE,27,404768.91,14991.44,43.97,6,22.22,332171.27,1,MEDIUM RISK
CZ,HK,13,445002.87,34230.99,43.95,3,23.08,415653.92,1,MEDIUM RISK
NL,HK,22,618093.34,28095.15,43.53,5,22.73,555900.5,1,MEDIUM RISK
NL,US,20,204920.03,10246.0,43.47,3,15.0,114535.38,1,MEDIUM RISK
FR,HK,26,476417.65,18323.76,43.21,4,15.38,117585.75,1,MEDIUM RISK
PT,US,20,207514.47,10375.72,42.37,4,20.0,177830.22,1,MEDIUM RISK
AT,US,20,402274.54,20113.73,42.34,1,5.0,263039.92,1,MEDIUM RISK
CZ,US,15,110133.5,7342.23,41.7,2,13.33,71364.37,1,MEDIUM RISK
IT,US,25,255334.43,10213.38,41.18,3,12.0,197681.97,1,MEDIUM RISK
PL,AE,19,290320.94,15280.05,41.15,1,5.26,27865.23,1,MEDIUM RISK
SE,US,20,161718.38,8085.92,40.84,2,10.0,36503.44,1,MEDIUM RISK
HU,AE,27,956310.11,35418.89,40.69,3,11.11,853126.17,1,MEDIUM RISK
IT,CH,18,494405.46,27466.97,40.69,2,11.11,348877.63,1,MEDIUM RISK
FI,AE,18,219680.75,12204.49,39.78,3,16.67,73948.97,1,MEDIUM RISK
PT,GB,22,367582.58,16708.3,39.31,2,9.09,137539.79,1,MEDIUM RISK
CZ,SG,15,59818.21,3987.88,38.9,1,6.67,15591.41,1,MEDIUM RISK
FR,CH,16,345178.22,21573.64,37.87,2,12.5,255498.75,1,MEDIUM RISK
FR,GB,20,208717.31,10435.87,37.43,3,15.0,166100.42,1,MEDIUM RISK
NL,AE,19,236597.02,12452.47,37.28,2,10.53,197488.22,1,MEDIUM RISK
FI,GB,22,323601.02,14709.14,36.51,2,9.09,148089.04,1,MEDIUM RISK
PL,US,18,33668.31,1870.46,35.62,0,0.0,0.0,1,MEDIUM RISK
BE,GB,18,184525.11,10251.4,35.41,0,0.0,0.0,1,MEDIUM RISK
ES,CH,27,396451.74,14683.4,35.37,4,14.81,223962.5,1,MEDIUM RISK
PL,CH,17,622179.95,36598.82,35.13,2,11.76,493589.14,1,MEDIUM RISK
AT,CH,22,414352.23,18834.19,35.03,2,9.09,240026.42,1,MEDIUM RISK
SE,GB,28,297438.33,10622.8,35.02,1,3.57,168062.77,1,MEDIUM RISK
HU,CH,21,296133.4,14101.59,34.98,2,9.52,197840.04,1,LOW RISK
RO,GB,24,135757.3,5656.55,34.65,1,4.17,201.43,1,LOW RISK
FI,CH,23,576164.63,25050.64,33.93,2,8.7,299485.21,1,LOW RISK
NL,GB,20,334790.32,16739.52,33.92,1,5.0,21900.43,1,LOW RISK
RO,CH,22,911532.85,41433.31,33.71,3,13.64,865948.03,1,LOW RISK
BE,CH,14,109234.11,7802.44,33.7,0,0.0,0.0,1,LOW RISK
ES,GB,27,254701.24,9433.38,33.11,2,7.41,175285.54,1,LOW RISK
NL,CH,21,304316.75,14491.27,33.09,1,4.76,52.42,1,LOW RISK
CZ,CH,20,175330.77,8766.54,33.04,1,5.0,104272.08,1,LOW RISK
DE,CH,26,375693.86,14449.76,32.61,3,11.54,283993.53,1,LOW RISK
CZ,GB,22,344739.01,15669.95,31.98,3,13.64,209480.4,1,LOW RISK
DE,GB,16,72533.01,4533.31,31.89,1,6.25,1642.63,1,LOW RISK
DK,CH,23,136384.26,5929.75,31.8,0,0.0,0.0,1,LOW RISK
PT,CH,20,198097.99,9904.9,31.66,2,10.0,172229.42,1,LOW RISK
IT,GB,23,127263.79,5533.21,31.29,0,0.0,0.0,1,LOW RISK
PL,GB,20,125497.88,6274.89,31.06,0,0.0,0.0,1,LOW RISK
HU,GB,24,171170.22,7132.09,30.74,2,8.33,103562.75,1,LOW RISK
DK,GB,22,213652.21,9711.46,30.3,1,4.55,43428.33,1,LOW RISK
SE,CH,18,192075.0,10670.83,29.06,0,0.0,0.0,1,LOW RISK
AT,GB,13,72056.81,5542.83,28.67,0,0.0,0.0,1,LOW RISK
NL,DE,46,518201.51,11265.25,16.97,3,6.52,317976.96,1,LOW RISK
PT,ES,39,324437.27,8318.9,16.96,2,5.13,199551.69,1,LOW RISK
