merchant_category,total_transactions,total_volume_eur,avg_amount_eur,min_amount_eur,max_amount_eur,pct_of_total_txns,completed_count,failed_count,approval_rate_pct,avg_risk_score,flagged_count,flag_rate_pct,flagged_volume_eur,risk_classification
Gambling,403,6262352.64,15539.34,3.47,598753.09,3.36,305,26,75.68,43.46,74,18.36,4429680.87,MEDIUM RISK
Crypto Exchange,281,4356801.15,15504.63,3.85,284444.35,2.34,211,19,75.09,42.93,45,16.01,2296775.44,MEDIUM RISK
Healthcare,1105,13299382.64,12035.64,1.99,2000000.0,9.21,860,89,77.83,16.13,40,3.62,6785414.54,LOW RISK
Logistics,852,8882317.84,10425.26,1.2,496929.38,7.1,653,61,76.64,15.91,26,3.05,3885194.9,LOW RISK
Real Estate,932,8948951.35,9601.88,0.45,496609.57,7.77,708,91,75.97,15.51,30,3.22,3811072.71,LOW RISK
Retail,3054,23640239.0,7740.75,1.15,496063.57,25.45,2408,223,78.85,15.46,88,2.88,10435195.57,LOW RISK
SaaS / Software,1788,15341738.61,8580.39,0.9,662308.58,14.9,1379,163,77.13,15.39,50,2.8,5938757.34,LOW RISK
Financial Svcs,1204,10554895.18,8766.52,0.89,864032.19,10.03,941,108,78.16,15.31,29,2.41,4099460.91,LOW RISK
Travel,1424,11026461.64,7743.3,0.91,472688.29,11.87,1100,121,77.25,15.23,34,2.39,4570097.35,LOW RISK
Manufacturing,957,9798843.54,10239.13,2.21,534086.61,7.97,736,69,76.91,14.36,23,2.4,3304555.86,LOW RISK
