year,month,month_name,total_transactions,total_volume_eur,avg_transaction_eur,sepa_credit_count,sepa_debit_count,swift_count,card_count,swift_volume_eur,cross_border_count,cross_border_pct
2023,1,Jan,524,4513859.01,8614.23,237,117,94,76,2812996.93,499,95.23
2023,2,Feb,475,4023499.29,8470.52,217,102,74,82,2773915.31,456,96.0
2023,3,Mar,540,4478808.46,8294.09,236,136,85,83,3584543.85,503,93.15
2023,4,Apr,527,4837918.8,9180.11,237,119,91,80,3703617.95,493,93.55
2023,5,May,526,6844250.89,13011.88,206,140,94,86,4407858.23,503,95.63
2023,6,Jun,468,5235869.57,11187.76,187,134,75,72,3524463.27,443,94.66
2023,7,Jul,496,5071262.62,10224.32,224,128,85,59,2667498.36,457,92.14
2023,8,Aug,495,4285565.78,8657.71,212,120,80,83,2588717.79,471,95.15
2023,9,Sep,452,4386366.78,9704.35,194,105,84,69,2988433.33,429,94.91
2023,10,Oct,534,3938316.65,7375.12,222,144,74,94,2165406.06,503,94.19
2023,11,Nov,503,5269356.96,10475.86,215,123,87,78,3967232.94,471,93.64
2023,12,Dec,524,4489132.08,8567.05,234,131,68,91,3386418.11,491,93.7
2024,1,Jan,537,5545519.29,10326.85,234,135,91,77,3945224.44,505,94.04
2024,2,Feb,478,4243562.69,8877.75,215,119,81,63,3271455.64,451,94.35
2024,3,Mar,475,2406486.07,5066.29,195,122,78,80,1735675.43,450,94.74
2024,4,Apr,464,3375349.67,7274.46,221,103,77,63,2385086.88,430,92.67
2024,5,May,488,3643655.57,7466.51,227,112,76,73,1683343.02,465,95.29
2024,6,Jun,498,4042063.49,8116.59,216,124,81,77,3241033.74,471,94.58
2024,7,Jul,472,3330894.01,7056.98,206,132,73,61,1560114.48,455,96.4
2024,8,Aug,506,5572881.93,11013.6,226,116,78,86,4284045.37,475,93.87
2024,9,Sep,527,7496875.02,14225.57,218,137,84,88,5964796.3,497,94.31
2024,10,Oct,493,4146181.96,8410.11,216,129,75,73,2348130.55,458,92.9
2024,11,Nov,504,6146074.44,12194.59,231,121,87,65,4179526.33,484,96.03
2024,12,Dec,494,4788232.56,9692.78,213,130,90,61,3122290.11,468,94.74
