year,month,month_name,total_transactions,flagged_count,flag_rate_pct,flagged_volume_eur,avg_risk_score_flagged,flagged_swift,flagged_sepa_credit,flagged_card,flagged_off_hours
2023,1,Jan,524,27,5.15,2060542.42,72.84,22,3,1,15
2023,2,Feb,475,18,3.79,1777314.33,72.57,14,3,1,10
2023,3,Mar,540,16,2.96,2075947.53,75.65,16,0,0,13
2023,4,Apr,527,15,2.85,2418272.58,71.9,13,2,0,10
2023,5,May,526,31,5.89,4570944.5,71.26,21,3,4,20
2023,6,Jun,468,18,3.85,2422944.52,71.67,14,2,0,11
2023,7,Jul,496,17,3.43,1493906.65,70.14,13,2,1,11
2023,8,Aug,495,17,3.43,2032817.04,70.47,13,1,2,12
2023,9,Sep,452,23,5.09,1962002.98,73.59,15,6,1,15
2023,10,Oct,534,17,3.18,1573887.95,73.83,12,3,0,8
2023,11,Nov,503,26,5.17,2882242.17,76.91,22,1,1,17
2023,12,Dec,524,16,3.05,1622557.99,72.61,12,3,0,9
2024,1,Jan,537,19,3.54,2459038.73,72.77,13,2,2,11
2024,2,Feb,478,17,3.56,1276486.12,74.78,14,2,0,11
2024,3,Mar,475,6,1.26,384758.46,81.03,6,0,0,2
2024,4,Apr,464,12,2.59,1131745.36,70.06,9,3,0,7
2024,5,May,488,16,3.28,1619446.23,73.98,10,3,2,8
2024,6,Jun,498,20,4.02,1781792.27,77.12,16,2,1,10
2024,7,Jul,472,17,3.6,1475813.68,77.65,13,2,0,11
2024,8,Aug,506,18,3.56,2770987.9,76.26,18,0,0,11
2024,9,Sep,527,19,3.61,4127052.09,71.71,15,3,0,12
2024,10,Oct,493,18,3.65,1916217.01,73.22,13,1,1,7
2024,11,Nov,504,15,2.98,1745838.11,69.92,11,2,0,12
2024,12,Dec,494,21,4.25,1973648.87,72.8,17,1,0,11
