transaction_id,transaction_date,amount_local,currency,amount_eur,payment_type,processing_status,sender_country,receiver_country,merchant_category,customer_segment,sender_bic,receiver_bic,is_cross_border,risk_score,is_flagged,year,month,month_name,day_of_week,hour,quarter,week_number,is_weekend,is_off_hours
9c2cd5bd-3e93-4553-aee0-b295dc58efe5,2023-01-01 01:18:14,91.2,EUR,91.2,SEPA Credit Transfer,Completed,AT,PL,Logistics,Retail,XXXXXXXX864,PKOPPLPW384,True,15.27,False,2023,1,Jan,Sunday,1,1,52,True,True
7f3f44db-f7b4-48d1-a4fd-21751f3537c8,2023-01-01 01:50:50,454.47,EUR,454.47,SEPA Credit Transfer,Completed,HU,DK,Financial Svcs,Retail,XXXXXXXX963,XXXXXXXX470,True,18.0,False,2023,1,Jan,Sunday,1,1,52,True,True
aa0cfd2c-5739-44b0-b73f-341c7e2270be,2023-01-01 02:17:55,696.76,EUR,696.76,SEPA Credit Transfer,Completed,DK,SG,Retail,Retail,XXXXXXXX401,XXXXXXXX543,True,39.54,False,2023,1,Jan,Sunday,2,1,52,True,True
3ad089f3-6afe-4e5d-ad02-cf2a19a18356,2023-01-01 04:38:02,16587.14,CHF,18245.85,SWIFT,Failed,DK,AE,SaaS / Software,Retail,XXXXXXXX175,XXXXXXXX987,True,74.49,True,2023,1,Jan,Sunday,4,1,52,True,True
5a33f4a1-e53e-4507-8f75-1e02810587a9,2023-01-01 05:21:18,373.12,EUR,373.12,SEPA Direct Debit,Completed,IT,SG,Retail,SME,UNCRITMM382,XXXXXXXX461,True,38.04,False,2023,1,Jan,Sunday,5,1,52,True,True
0b1b5eaf-74f9-4c5e-b3fc-8f56e9948838,2023-01-01 05:34:25,811.59,EUR,811.59,SEPA Direct Debit,Completed,ES,FR,Healthcare,SME,SANESSS485,CMCIFRPP181,True,19.44,False,2023,1,Jan,Sunday,5,1,52,True,True
64330d69-431a-4135-bba6-2214804b7cbd,2023-01-01 05:48:50,2030.15,EUR,2030.15,SEPA Direct Debit,Completed,NL,FR,Healthcare,Retail,RABONL2U839,BNPAFRPP751,True,17.01,False,2023,1,Jan,Sunday,5,1,52,True,True
8abdc22e-4db0-460c-ab65-0136da7898f1,2023-01-01 08:37:33,18.5,EUR,18.5,Card Payment,Completed,SE,DK,SaaS / Software,Corporate,HANDSESS820,XXXXXXXX884,True,2.58,False,2023,1,Jan,Sunday,8,1,52,True,False
f51275f4-2682-4ab3-99c9-b4ed85864f5e,2023-01-01 12:44:28,160.16,EUR,160.16,SEPA Credit Transfer,Completed,FR,PL,Retail,Retail,CMCIFRPP306,PKOPPLPW448,True,0.43,False,2023,1,Jan,Sunday,12,1,52,True,False
cd9ca0c7-2e22-4669-aa75-06f3acba9c78,2023-01-01 16:07:15,56263.03,EUR,56263.03,SEPA Direct Debit,Completed,SE,CZ,Retail,Corporate,SWEDSESS929,XXXXXXXX450,True,16.11,False,2023,1,Jan,Sunday,16,1,52,True,False
b5202fe0-3f9d-4ea8-8350-3a662dbab63b,2023-01-01 16:29:47,7586.72,CHF,8345.39,SEPA Credit Transfer,Completed,DE,FR,Real Estate,Corporate,COBADEFF525,CMCIFRPP649,True,1.33,False,2023,1,Jan,Sunday,16,1,52,True,False
ba24074a-d500-4775-92c3-15092ee34404,2023-01-01 17:10:39,956.89,EUR,956.89,SEPA Direct Debit,Completed,RO,BE,Retail,SME,XXXXXXXX648,XXXXXXXX934,True,1.15,False,2023,1,Jan,Sunday,17,1,52,True,False
4d5e27ac-c045-48ea-bfd8-8123980dc752,2023-01-01 17:53:44,88.23,EUR,88.23,SEPA Direct Debit,Pending,ES,DE,Retail,Retail,CAIXESBB281,BYLADEM1552,True,3.96,False,2023,1,Jan,Sunday,17,1,52,True,False
2327fdfd-ab92-4c40-a3f0-7ec19affc20b,2023-01-01 18:14:47,6156.14,EUR,6156.14,SWIFT,Completed,DE,RO,Travel,Retail,SSKMDEMMXXX454,XXXXXXXX482,True,4.97,False,2023,1,Jan,Sunday,18,1,52,True,False
8f39bc1a-4ad0-460c-b1d0-a030b76c7167,2023-01-01 18:37:58,307.71,GBP,360.02,SEPA Credit Transfer,Completed,BE,HU,Retail,Retail,XXXXXXXX651,XXXXXXXX878,True,2.61,False,2023,1,Jan,Sunday,18,1,52,True,False
